,category,sub_category,product_item,product_name,product_price,product_per_kg/lr,shipping_cost,shipping_duration,date_time,prod_description,storage_information,manf_address,Ingredients,Calorif_val_kf,cal_val_kcal,fat,saturated_fat,carbohydrates,sugar_carbohydrates,protein,salt,product_url,product_image
22,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Lavazza Caffe Crema Dolce Bohnen 1KG,"15,99 €","15,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:51:12.391630,Kaffeebohnen,,"Verantwortliches Lebensmittelunternehmen:
LUIGI LAVAZZA S.p.A., C. SO NOVARA, 59- 10154 TORINO - ITALIA",Zutatenverzeichnis: Kaffeebohnen,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Lavazza-Caffe-Crema-Dolce-Bohnen-1KG.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/caffecrema_dolce_1000g_front_ean_8000070027435.jpg
23,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Dallmayr Home Barista Caffè Crema Forte ganze Bohne 1KG,"15,99 €","15,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:51:13.936884,-,,"Verantwortliches Lebensmittelunternehmen:
Alois Dallmayer, Dienerstrasse 14-15, 80331 München",,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Dallmayr-Home-Barista-Caff-Crema-Forte-ganze-Bohne-1KG.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/dallmayr_home_barista_caffee_crema_forte_rainforest_alliance_identity_preserved_ganze_bohne_1kg.jpg
24,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Jacobs Barista Editions Crema Bohne 1kg,"16,99 €","16,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen (geringer Lagerbestand),2023-05-02 22:51:16.066838,"Röstkaffee, ganze Bohnen.","Hinweis zur Aufbewahrung: Geöffnete Packung gut verschlossen, kühl und trocken aufbewahren.","Verantwortliches Lebensmittelunternehmen:
JACOBS DOUWE EGBERTS, Oosterdoksstraat 80, NL-1011 DK Amsterdam Langemarckstraße 4-20, D-28199 Bremen",,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Jacobs-Barista-Editions-Crema-Bohne-1kg.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/jacobsbaristacrema.jpg
25,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,EDEKA Genussmomente Kaffee Honduras Hacienda Montecristo ganze Bohnen 500G,"7,49 €","14,98 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:51:18.205796,"Röstkaffe, ganze Bohnen",Hinweis zur Aufbewahrung: Kühl und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
EDEKA ZENTRALE Stiftung & Co. KG, D-22291 Hamburg",,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/EDEKA-Genussmomente-Kaffee-Honduras-Hacienda-Montecristo-ganze-Bohnen-500G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/edekagmhonduras.jpg
26,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Dallmayr Crema d´Oro Kaffee ganze Bohnen 1 kg,"17,99 €","17,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:51:20.453816,Kaffee geröstet,,"Verantwortliches Lebensmittelunternehmen:
Alois Dallmayr Kaffee OHG, Dienerstr. 14-15, D-80331 München",Zutatenverzeichnis: Kaffeebohnen,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Dallmayr-Crema-d-Oro-Kaffee-ganze-Bohnen-1-kg.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/dallmayr_crema_doro_kaffee_ganze_bohnen.jpg
27,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Monti Gran Crema Bohnen 1KG,"10,99 €","10,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:51:23.582357,Blend aus Robusta- und Arabica Bohnen.,,"Verantwortliches Lebensmittelunternehmen:
Remy & Kohlhaas GmbH, Große Hub 9, 65344 Eltville am Rhein",Zutatenverzeichnis: 70% Robusta und 30% Arabica.,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Monti-Gran-Crema-Bohnen-1KG.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/monti_grancrema_1000g_frontal.jpg
29,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Mövenpick Espresso Bohnen 1KG,"17,99 €","17,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:51:28.107017,Röstkaffee in ganzen Bohnen,,"Verantwortliches Lebensmittelunternehmen:
J. J. Darboven GmbH & Co. KG, Pinkertweg 13, D-22113 Hamburg",,194,811,"13,4",5,"1,5","1,5",14,"0,03",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Moevenpick-Espresso-Bohnen-1KG.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/mvenpick_espresso_bohnen_1000g.jpg
31,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Dallmayr Home Barista Espresso Intenso ganze Bohne 1KG,"15,99 €","15,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:51:32.603964,-,,"Verantwortliches Lebensmittelunternehmen:
Alois Dallmayer, Dienerstrasse 14-15, 80331 München",,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Dallmayr-Home-Barista-Espresso-Intenso-ganze-Bohne-1KG.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/dallmayr_home_barista_espersso_rainforest_alliance_identity_preserved_ganze_bohne_1kg.jpg
32,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Schümli Espresso Bohne 1kg,"14,99 €","14,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:51:34.583592,-,,"Verantwortliches Lebensmittelunternehmen:
Delica AG, CH-4127 Birsfelden",,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Schuemli-Espresso-Bohne-1kg.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/schmliespresso.jpg
33,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Darboven Café Intención ecológico Café Crema Bio Fairtrade 1KG,"19,99 €","19,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:51:36.618662,Röstkaffee in ganzen Bohnen. 100% Arabica.,,"Verantwortliches Lebensmittelunternehmen:
J. J. Darboven GmbH & Co. KG, Pinkertweg 13, D-22113 Hamburg",,811,194,"13,4",5,"1,5","1,5",14,"0,03",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Darboven-Caf-Intenci-n-ecol-gico-Caf-Crema-Bio-Fairtrade-1KG.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/darboven_caf_intencin_ecolgico_caf_crema_bio_fairtrade1_kg.jpg
